epoch,acc,loss,val_acc,val_loss
0,0.4938152610681143,1.277638212973813,0.39825581395348836,2.3793105191962662
1,0.6012851406292743,0.9924314801472737,0.5501453488372093,1.2296782801317614
2,0.6533333334003586,0.8672521589846017,0.4178779069767442,2.78862225732138
3,0.669397590409321,0.8206397908662696,0.5254360465116279,1.3417917240497679
4,0.6904417671352984,0.7761217699855207,0.49200581395348836,2.199315450912298
5,0.7132530120625553,0.7300785147617141,0.6329941860465116,0.9336935794630716
6,0.7244979919870216,0.6924885615287536,0.5043604651162791,1.522940074288568
7,0.7432931727290633,0.670567609718047,0.498546511627907,1.3578781638034554
8,0.7583935743354889,0.6293425451033565,0.6068313953488372,1.164437970449758
9,0.7640160642857532,0.6200888283520817,0.5661337209302325,1.2849010658818623
