epoch,acc,loss,val_acc,val_loss
0,0.493815261101627,1.3843370752736746,0.30305232558139533,6.433235135189323
1,0.5744578314019015,1.1280371379086291,0.45494186046511625,1.2948401445566222
2,0.5076305221458036,1.32973828126149,0.39680232558139533,2.3079056656637857
3,0.5198393574440815,1.2272232390790578,0.21729651162790697,8.655348145684531
4,0.47710843380196505,1.320438684900123,0.3168604651162791,7.825132680493732
5,0.5351004016303633,1.1912091835627114,0.5305232558139535,1.1829389902048333
6,0.5551807228963538,1.1416356910854937,0.5486918604651163,1.2224801252054613
7,0.5857028112928552,1.0597428487295129,0.5625,1.0573183977326681
8,0.6044979920348967,1.0363058875746516,0.5930232558139535,0.9706141920976861
9,0.6229718876076511,0.9820718276357077,0.5530523255813954,1.2305814859478972
