epoch,acc,loss,val_acc,val_loss
0,0.5606425703577248,1.196938942982011,0.5515988372093024,1.1086819088736246
1,0.6915662651081161,0.8022411241397321,0.592296511627907,1.2586735209753348
2,0.7412048193345587,0.6777573332920611,0.6337209302325582,0.9676428409509881
3,0.789397590418896,0.5677976557624388,0.6082848837209303,1.2528392173523126
4,0.8173493975999365,0.48268111002493097,0.6199127906976745,1.269573107708332
5,0.8446586345477276,0.4181588511534005,0.5879360465116279,1.7146295655605406
6,0.8573493976286616,0.3851344702808733,0.6359011627906976,1.2428661266038583
7,0.8756626506215597,0.335259784407405,0.6322674418604651,1.315116516379423
8,0.8934939759131895,0.30297848702434554,0.6242732558139535,1.590847653011943
9,0.8955823293459942,0.2881904633456923,0.6002906976744186,1.766923160053963
