epoch,acc,loss,val_acc,val_loss
0,0.6440337485652126,1.0622535796230603,0.7345454545454545,0.707888613614169
1,0.7308155884940062,0.7692260607843564,0.6727272727272727,0.8036814847859469
2,0.7581357972456203,0.6738938628405919,0.730909091125835,0.6943975413929332
3,0.7738047405963636,0.6170343243007729,0.72,0.6739728649096055
4,0.7910807550600035,0.5777508858314429,0.7999999997832559,0.5604865186864679
5,0.7950984332254011,0.5534601800410132,0.7836363634196195,0.622166738726876
6,0.7838489356027544,0.5783861272303442,0.7890909088741649,0.6223184973543341
7,0.8115709123002233,0.5058295545495625,0.8018181818181818,0.6076952097632669
8,0.818802731925103,0.5115469116530489,0.7909090911258351,0.65386080048301
9,0.8139815185385183,0.5000333637298471,0.8036363634196195,0.6740598279779607
