epoch,acc,loss,val_acc,val_loss
0,0.6323824832122361,1.1367642036304266,0.46909090930765324,1.8023843453147195
1,0.7324226594392723,0.6970895364994311,0.758181817965074,0.629126457192681
2,0.7613499396390444,0.6294038339090328,0.7327272725105286,0.7244751440395009
3,0.7742065085422183,0.6105038850793114,0.7581818183985624,0.6044575359604576
4,0.7858577741586142,0.5875506374480591,0.7709090906923467,0.6413228962638161
5,0.7910807552276342,0.546491512935197,0.7927272729440169,0.7124482176520608
6,0.7995178787858671,0.5427392711357785,0.7727272727272727,0.6129063352671537
7,0.8039373245139637,0.5227385891542323,0.598181817965074,1.1393467848951166
8,0.817999196201024,0.4876645246798277,0.7327272729440168,0.6783908297798851
9,0.8159903574775337,0.5148519646479643,0.7545454547621987,0.6195851794156161
