epoch,acc,loss,val_acc,val_loss
0,0.6588991565750324,1.0387320550343462,0.649090909090909,1.1254311763156544
1,0.7171554838667533,0.7416983299008236,0.5818181818181818,2.6494030198183927
2,0.7364403373891448,0.6999136381189524,0.770909091017463,0.62780432917855
3,0.7529128166794921,0.6707376789357011,0.6545454547621987,2.257305154800415
4,0.7372438731611182,0.695186297928966,0.7872727270559831,0.6223151991584084
5,0.7677782243061564,0.6295553728153831,0.7636363636363637,0.6596832360462709
6,0.7774206509835369,0.613072990748527,0.7545454543287103,0.7841507822817022
7,0.7649658499783232,0.637694403104104,0.6454545452378013,1.1084493385661731
8,0.7762153473136031,0.59727944928798,0.7890909088741649,0.6685546866330233
9,0.7866613099305876,0.5628537676237634,0.7818181816014377,0.6044704387404702
